,Brands,Colors,Battery,Price,Original_price,Rating,Total_reviews,Discount
45,Noise,"Deep wine, True Wireless","('40 H', 'H')",₹799,"₹3,499",4.1,"(90,287)",77% off
46,TRIGGR,"Sky Black, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(40,905)",80% off
47,TRIGGR,"Gotham Black, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
48,truke,"Metal Black, True Wireless","('48H', 'H')",₹699,"₹2,499",4,"(11,902)",72% off
49,Noise,"Calm Beige, True Wireless","('50H', 'H')",₹999,"₹3,499",4,"(5,95,118)",71% off
50,TRIGGR,"Black, True Wireless",,₹799,"₹3,999",4,"(57,708)",80% off
51,Boult,"Dyno Silver, True Wireless","('60 H', 'H')","₹1,499","₹4,999",4.2,"(20,931)",70% off
52,Boult,"Metal, True Wireless","('100H', 'H')","₹1,299","₹5,499",4.1,"(1,14,885)",76% off
53,Boult,"Candy cane, True Wireless","('60H', 'H')","₹1,199","₹5,999",4.1,"(70,620)",80% off
54,Boult,"Black, True Wireless","('50H', 'H')","₹1,099","₹5,499",4.1,"(4,62,019)",80% off
55,Boult,"Blue Ice, True Wireless","('50H', 'H')",₹899,"₹2,499",4.1,"(10,681)",64% off
56,HOPPUP,"Red, True Wireless",,₹799,"₹4,999",4,"(4,133)",84% off
57,truke,"Black, True Wireless","('48H', 'H')",₹799,"₹3,499",4,"(77,605)",77% off
58,Mivi,"Black, True Wireless","('50H', 'H')",₹899,"₹3,999",4,"(37,964)",77% off
59,Boult,"Jungle, True Wireless","('100H', 'H')","₹1,299","₹5,499",4.1,"(1,14,885)",76% off
60,Nu,"Sterling Silver, True Wireless","('56h', 'h')",₹849,"₹2,999",4.7,(317),71% off
61,truke,"Blue, True Wireless","('60 Hours', 'Hours')",₹799,"₹2,999",4,"(26,557)",73% off
62,OnePlus,"Metallic Gray IN, True Wireless",,"₹5,499","₹6,499",4.5,"(29,505)",15% off
63,realme,"Arctic White, True Wireless",,"₹2,299","₹5,999",4.3,"(39,918)",61% off
64,Mivi,"Blue, True Wireless",,₹899,"₹3,499",4,"(31,203)",74% off
65,boAt,"Charcoal Black, True Wireless","('120 Hours', 'Hours')","₹1,549","₹7,990",4.2,"(85,470)",80% off
66,truke,"MintMist, True Wireless","('60H', 'H')",₹899,"₹2,999",4.1,"(17,106)",70% off
67,TRIGGR,"Azure Blue, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
68,realme,"Pop White, True Wireless","('38 h', 'h')","₹1,499","₹2,999",4.2,"(3,59,878)",50% off
69,Boult,"Pine Green, True Wireless","('35H', 'H')",₹899,"₹2,499",4.1,"(1,65,647)",64% off
70,TRIGGR,"Punk Yellow, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
71,HOPPUP,"Blue, True Wireless","('40H', 'H')",₹599,"₹3,999",4.1,"(49,095)",85% off
72,boAt,"Ivory White, True Wireless","('50HRS', 'HRS')","₹1,299","₹4,990",4.1,"(1,886)",73% off
73,realme,"Titanium Twilight, True Wireless",,"₹4,999","₹7,999",4.4,"(8,012)",37% off
74,Boult,"Green, True Wireless","('50H', 'H')","₹1,099","₹5,499",4.1,"(4,62,019)",80% off
75,Noise,"Soft Lilac, True Wireless","('40 H', 'H')",₹799,"₹3,499",4.1,"(90,287)",77% off
76,Aroma,"Dazzling Black, True Wireless","('60H', 'H')",₹623,"₹2,899",4,(211),78% off
77,Number,"Glass Black, True Wireless",,₹799,"₹4,999",4,"(20,786)",84% off
78,Noise,"Olive Green, True Wireless","('40 H', 'H')",₹799,"₹3,499",4.1,"(90,287)",77% off
79,realme,"Country Green, True Wireless","('38 h', 'h')","₹1,499","₹2,999",4.2,"(3,59,878)",50% off
80,TRIGGR,"Jungle Green, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(40,905)",80% off
81,Boult,"Electric Black, True Wireless","('48H', 'H')","₹1,199","₹2,999",4.1,"(1,29,032)",60% off
82,Boult,"Jet Black, True Wireless","('55H', 'H')",₹899,"₹2,499",4,"(12,810)",64% off
83,boAt,"White Sabre, True Wireless","('40 H', 'H')","₹1,199","₹3,499",4,"(12,48,011)",65% off
84,Portronics,"Black, True Wireless","('20 H', 'H')",₹692,"₹1,999",4,"(7,568)",65% off
85,boAt,"Olive Green, True Wireless","('40 Hours', 'Hours')","₹1,099","₹2,490",4,"(12,48,011)",55% off
86,TRIGGR,"Sky Black, True Wireless","('40H', 'H')",₹599,"₹2,999",4,"(40,905)",80% off
87,TRIGGR,"Gotham Black, True Wireless",,₹799,"₹3,999",4,"(9,538)",80% off
88,Google,"Fog, True Wireless",,"₹8,990","₹19,900",4.5,"(3,832)",54% off
